,,,,,,,,,,,,,,,,,,,
Res. Eduardo Nuñez,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,QTY,Unit,$0.00,$0.00,,,,,,,,,,,,,,
2010  Demolición,,,,,,,,,,,,,,,,,,,
"$31,593.75",Demolición,,,,,,,,,,,,,,,,,,
,Counter de Barra,7.00,lft,$750.00,$937.50,,,,,,,,,,,,,,
,Corte con Cierra,51.00,lft,$750.00,$937.50,,,,,,,,,,,,,,
,Lajas de Piso,295.00,sqft,$750.00,$937.50,,,,,,,,,,,,,,
,"Pared baja de 20"" de alto - Para Construir Nueva Escalera @ Piscina",13.00,lft,$750.00,$937.50,,,,,,,,,,,,,,
,Wood Deck - (Creo que es el Techo de Madera & Tejas en el nivel de la Casa),104.00,sqft,$750.00,$937.50,,,,,,,,,,,,,,
,Remover Plantas - Para Construir Nueva Escalera @ Piscina,15.00,sqft,,,,,,,,,,,,,,,,
,Protecciones Temporeras,1.00,ls.,"$1,200.00","$1,500.00",,,,,,,,,,,,,,
,,,,,$0.00,,,,,,,,,,,,,,
,Bullnose de la Piscina,120.00,lft,$940.00,"$1,175.00",,,,,,,,,,,,,,
,Ladrillos en losas de piso de concreto @ removerse,275.00,sqft,$940.00,"$1,175.00",,,,,,,,,,,,,,
,Plataforma de concreto @ Demoler (para luego ser reconstruidas),120.00,sqft,$470.00,$587.50,,,,,,,,,,,,,,
,Corte con Cierra,60.00,lft,$470.00,$587.50,,,,,,,,,,,,,,
,Pool Deck @ removerse (Piso alrededor de la piscina),886.00,sqft,$940.00,"$1,175.00",,,,,,,,,,,,,,
,Losas en el Tope de la Barra Mojada de la Piscina ,70.00,sqft,$470.00,$587.50,,,,,,,,,,,,,,
,Demoler Escalera (lado derecho) de Acceso @ Piscina,35.00,sqft,$470.00,$587.50,,,,,,,,,,,,,,
,Losas de Piedra en Pared de Barra del Gazebo de la Piscina,44.00,sqft,$940.00,"$1,175.00",,,,,,,,,,,,,,
,Tejas de Techo,475.00,sqft,$940.00,"$1,175.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Remover barandas de metal (solo una parte),9.00,lft,$470.00,$587.50,,,,,,,,,,,,,,
,Piso Existente @ demolerse (trabajos de plomeria - (agua & sanitario)),20.00,sqft,"$1,175.00","$1,468.75",,,,,,,,,,,,,,
,Protecciones Temporeras,10.00,lft,"$1,600.00","$2,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ventanas existentes @ Removerse,1.00,ea.,$525.00,$656.25,,,,,,,,,,,,,,
,Pared Existente @ Demolerse,100.00,sqft,$525.00,$656.25,,,,,,,,,,,,,,
,Corte con Cierra de Paredes,26.00,lft,$525.00,$656.25,,,,,,,,,,,,,,
,Pad de Concreto del Generador & del Tanque de Gas @ Removerse,68.00,sqft,$525.00,$656.25,,,,,,,,,,,,,,
,Piso Existente @ demolerse (trabajos de plomeria - (agua & sanitario)),50.00,sqft,"$2,500.00","$3,125.00",,,,,,,,,,,,,,
,Equipos de Plomeria Existentes @ Removerse y a Re-instalarse,2.00,ea.,$600.00,$750.00,,,,,,,,,,,,,,
,Corte con Cierra de Techo/Alero,18.00,lft,$525.00,$656.25,,,,,,,,,,,,,,
,Techo/alero @ demolerse (3' x 14'),39.00,sqft,$525.00,$656.25,,,,,,,,,,,,,,
,"Terminación/Reparación de Alero (6"" x 14')",7.00,sqft,$525.00,$656.25,,,,,,,,,,,,,,
,Protecciones Temporeras,10.00,lft,$600.00,$750.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Limpieza con Maquina de Presión Basement,360.00,sqft,$200.00,$250.00,,,,,,,,,,,,,,
,Equipo de Plomeria @ Removerse,3.00,ea.,$150.00,$187.50,,,,,,,,,,,,,,
,Corte con Cierra,4.00,lft,$350.00,$437.50,,,,,,,,,,,,,,
,Acústico existente @ Demolerse,40.00,sqft,$250.00,$312.50,,,,,,,,,,,,,,
,Losas de Piso en Basement @ Removerse,360.00,sqft,"$1,350.00","$1,687.50",,,,,,,,,,,,,,
,Losas de Pared @ Demolerse,180.00,sqft,$425.00,$531.25,,,,,,,,,,,,,,
,Muro de Pretil de Ducha @ Demolerse,4.00,lft,$400.00,$500.00,,,,,,,,,,,,,,
,Nota: No incluye limpiar y disponer de lo que hay en el Basement,,,$425.00,$531.25,,,,,,,,,,,,,,
,"Equipo Pesado (Escavadora , miniSkip etc…)",,,"$6,500.00","$8,125.00",,,,,,,,,,,,,,
,Disposición de Basura & Escombros,1.00,ls.,"$3,600.00","$4,500.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"3010  Mejoras al ""Site""",,,,,,,,,,,,,,,,,,,
,Movimiento de Tierra,,,,,,,,,,,,,,,,,,
,Relleno debajo de Piso de Concreto (Slab on Ground),4.00,CM,$400.00,$500.00,,,,,,,,,,,,,,
,Trabajos de Alcantarillado Sanitario,,,,,,,,,,,,,,,,,,
,Reparar Pozo Séptico,1 ,Allow,"$9,000.00","$11,250.00",,,,,,,,,,,,,,
,"Tubo de PVC 3""",20 ,lft,$100.00,$125.00,,,,,,,,,,,,,,
,"Tubo de PVC 2 1/2""",150 ,lft,$150.00,$187.50,,,,,,,,,,,,,,
,"Tubo de PVC 2""",20 ,Lf,$20.00,$25.00,,,,,,,,,,,,,,
,"""Y"" de PVC 3"" x 3"" x 3""",1 ,Ea,$18.00,$22.50,,,,,,,,,,,,,,
,"""Y"" de PVC 2 1/2"" x 2 1/2"" x 2""",1 ,Ea,$15.00,$18.75,,,,,,,,,,,,,,
,"Codo de PVC  3"" x 45 Grados",1 ,Ea,$10.00,$12.50,,,,,,,,,,,,,,
,"Codo de PVC 2 1/2"" x 45 Grados",3 ,Ea,$15.00,$18.75,,,,,,,,,,,,,,
,"Codo de PVC 2"" x 45 Grados",1 ,Ea,$8.00,$10.00,,,,,,,,,,,,,,
,"Codo de PVC 3"" x 90 Grados",2 ,Ea,$30.00,$37.50,,,,,,,,,,,,,,
,"Codo de PVC 2 1/2"" x 90 Grados",3 ,Ea,$15.00,$18.75,,,,,,,,,,,,,,
,"Codo de PVC 2"" x 90 Grados",3 ,Ea,$10.00,$12.50,,,,,,,,,,,,,,
,"Saddle 2 1/2' x 2 1/2"" ",1 ,Ea,$25.00,$31.25,,,,,,,,,,,,,,
,"Clean-Out 3"" W/Adapter",1 ,Ea,$30.00,$37.50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4010  Concreto,,,,,,,,,,,,,,,,,,,
"$27,281.25",Concreto,,,,,,,,,,,,,,,,,,
,"Fundido de Zapatas (Zapata en Escalera en ""L"")",2.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,"Fundido de Pisos de 5"" (Garage del Lado Derecho)",14.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,"Fundido de Paredes 6"" (Pared Master & Paredes debajo banco Planter)",9.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Fundido de Techos & Vigas ,4.00,cyds,"$4,125.00","$5,156.25",,,,,,,,,,,,,,
,Fundido Parapetos,2.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Fundido de Escaleras,11.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Articulos Miscelaneos,,,,,,,,,,,,,,,,,,
,Plastico - Vapor Barrier,"1,000.00",sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Barrenos & Epoxy,124.00,sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Miscelaneo,,,,,,,,,,,,,,,,,,
,Relleno de Excavaciones (Zapatas),16.00,Cm,$400.00,$500.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5010  Albañileria,,,,,,,,,,,,,,,,,,,
"$3,000.00",Albañileria,,,,,,,,,,,,,,,,,,
,"Bloques de 6""",132 ,sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Albañileria Miscelanea,,,,,,,,,,,,,,,,,,
,Accesorios,132 ,sqft,$200.00,$250.00,,,,,,,,,,,,,,
,Columnas de Amarre,32 ,lft,"$1,800.00","$2,250.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6010  Metales,,,,,,,,,,,,,,,,,,,
$0.00,Metales,,,,,,,,,,,,,,,,,,
